ID,y,yhat,fold,p,MW,y_mg,yhat_mg
58,-3.2867083060740074,-3.5546775,0,136,108.13999999999996,1.7472780591655983,1.4793088713762976
106,-3.650021735919272,-4.352726,0,136,213.664,1.6797096186341167,0.9770053842601607
140,-4.124262386887316,-4.3208284,0,136,184.242,1.1411262524861918,0.9445601986696277
162,-4.706593619852678,-4.274214,0,136,211.268,0.618240101166204,1.0506199293331588
164,-4.189358964927662,-3.775223,0,136,214.22,1.141501050046978,1.5556370116880407
210,-3.9108213737692505,-3.7971594,0,136,185.35499999999996,1.3571829319625106,1.4708448833375225
222,-3.66921389018661,-3.7269561,0,136,164.24800000000002,1.5462861998001427,1.4885439677251122
238,-3.184075913846765,-3.3830235,0,136,178.231,2.0669073299508334,1.8679597495695666
240,-3.221689331106364,-3.163712,0,136,168.27999999999997,2.0043431722385945,2.0623204947229796
242,-3.187650915246064,-3.5824351,0,136,238.286,2.189447611777876,1.794663372150491
286,-5.787000910087467,-4.1563573,0,136,339.3250000000001,-0.2563850523224667,1.3742585478027802
295,-2.892112124427854,-3.069282,0,136,142.19799999999998,2.260781363702377,2.0836114351540393
333,-4.957517840309168,-4.3646436,0,136,349.7450000000001,0.5862336741686892,1.179107947339843
365,-4.347710669343602,-4.0997787,0,136,191.19,0.9337545038559263,1.1816865320519774
6502,-4.9893372925378126,-4.6052747,0,136,326.22700000000003,0.5241826098002642,0.9082452117520557
406,-4.027674563981976,-3.6334834,0,136,172.268,1.2085300476847793,1.6027211915403679
427,-3.774536242441569,-4.214716,0,136,98.96,1.2209234441794954,0.7807437180668025
433,-4.698838645703352,-4.1476636,0,136,53.06399999999999,0.025961338586967513,0.57713640528258
441,-2.5761581664865894,-3.1574197,0,136,62.068000000000005,2.216709584973275,1.6354480805048681
462,-3.5992711928672687,-3.8626974,0,136,127.18699999999998,1.5051715307345148,1.2417453701837335
486,-2.6726603269137663,-3.02985,0,136,102.177,2.336692820379705,1.9795031357564628
525,-3.9775786302548246,-4.17496,0,136,99.177,1.0188323369473835,0.8214508288042423
540,-3.0737648537932647,-2.9533327,0,136,254.4139999999999,2.331776152379078,2.452208335153155
553,-3.358604650034424,-3.2261086,0,136,104.149,1.6590504543351123,1.7915465564588127
637,-3.2606716972833145,-3.0209925,0,136,128.215,1.8472671394139117,2.0869463064382523
722,-3.1083949706748903,-3.2031612,0,136,160.213,2.096302782017159,2.0015365044833544
728,-4.218946364990507,-4.0503325,0,136,213.409,1.110266365786403,1.2788801931369076
733,-5.13338887166336,-5.0944138,0,136,372.1490000000001,0.43732798467523726,0.47630309177542807
735,-3.0325563938803373,-3.0043066,0,136,156.269,2.1613164391341746,2.1895662811226146
757,-3.074239352711165,-3.0370507,0,136,190.283,2.2051606371734187,2.2423492574503427
762,-4.318603138524274,-4.0503325,0,136,269.51699999999994,1.1119830253337075,1.3802536262179796
801,-3.8110261682829294,-3.1576397,0,136,86.134,1.1241484477198447,1.7775348796650838
825,-4.977510142425843,-5.0566907,0,136,377.0690000000001,0.5989106867648568,0.5197301337323922
860,-3.211575328031173,-3.5273747,0,136,284.2490000000001,2.2421236174649377,1.9263241996413432
875,-3.792469159386844,-4.383026,0,136,330.801,1.7270976543528715,1.1365406937354001
903,-4.550578565284531,-3.8357658,0,136,182.222,0.7100222436961021,1.4248349743648299
1032,-4.037945904498048,-3.9190354,0,136,121.18299999999996,1.0454957951669896,1.1644062754183064
1068,-4.31576741899532,-4.591215,0,136,201.661,0.988854497450011,0.713406783314443
1075,-4.174305509608219,-4.1592784,0,136,169.227,1.054164145876876,1.0691912408860578
1124,-3.800881198420649,-3.2019582,0,136,136.14999999999998,1.333136447255334,1.9320594856387963
1137,-3.844043612155061,-4.546874,0,136,326.7610000000001,1.6701866043236577,0.9673561624458862
1187,-4.619289802363959,-4.4691463,0,136,269.5169999999999,0.8112963614940231,0.9614399063104094
1276,-4.477910244273292,-3.9879956,0,136,191.63900000000004,0.8045736517073525,1.2944882786735954
1278,-3.755648514549084,-3.8215523,0,136,218.277,1.5833594616578686,1.517455704233935
1290,-4.281298778638636,-4.02131,0,136,177.985,0.9690846242785287,1.229073543023685
1308,-4.098121794834885,-4.466416,0,136,413.1790000000001,1.5180164453701892,1.1497223617562975
1309,-5.207952137009123,-3.4440265,0,136,186.163,0.061941231942454184,1.8258669106303338
1350,-7.43451504305406,-5.6368866,0,136,288.44000000000005,-1.9744595561651737,-0.17683110504407779
1421,-3.8337993565504807,-4.195841,0,136,403.3940000000001,1.7719300777668459,1.409888592754531
1497,-3.198526634357918,-3.3645988,0,136,126.155,1.902377833570405,1.736305728185653
1498,-3.1283617536486914,-3.1985273,0,136,346.46400000000006,2.4112963614503844,2.3411307807816053
1602,-4.678800150088367,-4.5978236,0,136,310.48500000000007,0.8132404735076885,0.8942170149539195
1634,-5.147369798180432,-4.7415924,0,136,376.309,0.4281748070743141,0.8339522172517957
1661,-4.44008265372204,-4.3124714,0,136,255.665,0.9675886243736571,1.0951998802299938
1686,-4.28301564734052,-4.408601,0,136,373.4680000000001,1.2892377485865527,1.1636526067152277
1746,-2.856062329580168,-2.989108,0,136,314.50999999999993,2.641572129027114,2.508526394557157
1750,-4.7463463266063695,-4.689561,0,136,408.376,0.8647138843456279,0.9214993276294464
1762,-3.4182176901085044,-3.6424923,0,136,470.48900000000026,2.2543317839987753,2.030057171594144
1770,-3.705158042925468,-4.1549654,0,136,322.40500000000014,1.8032437254916154,1.3534363463802597
1956,-4.0678913272079225,-4.070668,0,136,235.066,1.3032984900062856,1.3005215933909087
2130,-4.458160180645512,-4.257055,0,136,251.332,0.942087606548982,1.1431929919377894
2136,-3.122494586348396,-3.56486,0,136,274.389,2.3158721105731357,1.8735065723684683
2149,-4.651346093131721,-4.328494,0,136,133.216,0.47321029607496223,0.7960623149452818
2164,-3.326266779339886,-3.299956,0,136,394.6840000000003,2.2699827416526537,2.2962934453681823
2234,-3.848437712683455,-3.4090133,0,136,196.29,1.44446046233457,1.8838848966586574
2255,-3.0108484515075284,-3.8539479,0,136,264.329,2.4112963614503844,1.5681969255187809
2316,-3.659570090878076,-4.478102,0,136,398.3970000000002,1.940745968571499,1.1222138307452374
