Molecule name,Salt_Solvent_ID
Molecule_2,0
Molecule_3,0
Molecule_4,0
Molecule_5,0
Molecule_6,0
Molecule_7,0
Molecule_10,0
Molecule_15,0
Molecule_17,0
Molecule_18,0
Molecule_19,0
Molecule_20,0
Molecule_23,2122
Molecule_24,0
Molecule_25,0
Molecule_26,0
Molecule_27,0
Molecule_28,0
Molecule_33,0
Molecule_35,0
Molecule_36,0
Molecule_38,0
Molecule_39,0
Molecule_40,1767
Molecule_41,0
Molecule_42,325
Molecule_43,0
Molecule_44,0
Molecule_45,0
Molecule_46,0
Molecule_47,0
Molecule_48,0
Molecule_49,0
Molecule_50,0
Molecule_51,0
Molecule_55,0
Molecule_58,0
Molecule_61,0
Molecule_64,0
Molecule_65,0
Molecule_67,0
Molecule_69,0
Molecule_70,0
Molecule_71,0
Molecule_72,0
Molecule_73,0
Molecule_79,0
Molecule_80,0
Molecule_82,0
Molecule_83,0
Molecule_84,0
Molecule_85,0
Molecule_86,0
Molecule_87,0
Molecule_88,0
Molecule_89,0
Molecule_90,0
Molecule_92,0
Molecule_93,0
Molecule_94,0
Molecule_95,0
Molecule_96,0
Molecule_97,0
Molecule_98,0
Molecule_99,0
Molecule_101,0
Molecule_103,0
Molecule_104,0
Molecule_105,0
Molecule_106,0
Molecule_107,0
Molecule_108,0
Molecule_110,0
Molecule_111,0
Molecule_112,0
Molecule_113,0
Molecule_114,0
Molecule_115,0
Molecule_116,0
Molecule_117,0
Molecule_118,0
Molecule_119,0
Molecule_120,0
Molecule_121,0
Molecule_122,260
Molecule_123,0
Molecule_124,0
Molecule_126,0
Molecule_127,0
Molecule_128,0
Molecule_129,0
Molecule_130,0
Molecule_131,0
Molecule_134,0
Molecule_135,0
Molecule_140,0
Molecule_141,0
Molecule_142,0
Molecule_144,0
Molecule_145,0
Molecule_146,0
Molecule_147,0
Molecule_148,0
Molecule_149,0
Molecule_151,0
Molecule_152,0
Molecule_153,170
Molecule_154,0
Molecule_155,0
Molecule_156,0
Molecule_157,0
Molecule_158,0
Molecule_159,0
Molecule_160,0
Molecule_161,0
Molecule_168,0
Molecule_169,0
Molecule_170,0
Molecule_171,0
Molecule_174,0
Molecule_176,0
Molecule_177,0
Molecule_178,0
Molecule_179,0
Molecule_180,0
Molecule_181,0
Molecule_182,0
Molecule_183,0
Molecule_184,0
Molecule_185,0
Molecule_186,0
Molecule_187,0
Molecule_188,0
Molecule_189,0
Molecule_190,0
Molecule_191,0
Molecule_192,0
Molecule_193,0
Molecule_194,0
Molecule_195,0
Molecule_196,0
Molecule_197,0
Molecule_198,0
Molecule_199,0
Molecule_200,0
Molecule_201,0
Molecule_203,0
Molecule_204,0
Molecule_205,0
Molecule_206,0
Molecule_207,0
Molecule_208,0
Molecule_209,0
Molecule_210,0
Molecule_211,0
Molecule_212,0
Molecule_213,0
Molecule_214,0
Molecule_215,0
Molecule_216,0
Molecule_217,0
Molecule_218,0
Molecule_219,0
Molecule_220,0
Molecule_221,0
Molecule_222,0
Molecule_223,0
Molecule_224,0
Molecule_225,0
Molecule_226,0
Molecule_227,0
Molecule_228,0
Molecule_229,0
Molecule_231,0
Molecule_232,0
Molecule_233,0
Molecule_234,2242
Molecule_235,0
Molecule_236,0
Molecule_238,0
Molecule_239,0
Molecule_240,0
Molecule_241,110
Molecule_242,0
Molecule_243,0
Molecule_244,0
Molecule_245,0
Molecule_246,0
Molecule_247,0
Molecule_248,0
Molecule_249,0
Molecule_250,0
Molecule_251,110
Molecule_252,0
Molecule_253,0
Molecule_254,0
Molecule_255,0
Molecule_256,0
Molecule_257,0
Molecule_258,0
Molecule_259,0
Molecule_260,0
Molecule_261,0
Molecule_263,240
Molecule_264,70
Molecule_265,0
Molecule_266,0
Molecule_267,0
Molecule_268,380
Molecule_269,0
Molecule_270,0
Molecule_272,0
Molecule_273,0
Molecule_274,0
Molecule_275,0
Molecule_276,0
Molecule_277,0
Molecule_278,0
Molecule_279,0
Molecule_280,0
Molecule_282,220
Molecule_283,0
Molecule_284,0
Molecule_285,0
Molecule_286,0
Molecule_287,0
Molecule_288,0
Molecule_289,400
Molecule_290,0
Molecule_291,1037
Molecule_292,0
Molecule_293,0
Molecule_294,0
Molecule_295,0
Molecule_296,110
Molecule_297,0
Molecule_298,0
Molecule_299,0
Molecule_300,0
Molecule_301,0
Molecule_302,0
Molecule_303,0
Molecule_304,0
Molecule_305,0
Molecule_306,0
Molecule_307,0
Molecule_308,0
Molecule_309,0
Molecule_310,0
Molecule_311,0
Molecule_312,0
Molecule_313,0
Molecule_314,0
Molecule_315,0
Molecule_316,0
Molecule_317,0
Molecule_318,170
Molecule_319,0
Molecule_320,0
Molecule_321,0
Molecule_322,0
Molecule_323,0
Molecule_324,0
Molecule_325,0
Molecule_326,0
Molecule_327,0
Molecule_328,0
Molecule_329,0
Molecule_330,0
Molecule_331,0
Molecule_332,0
Molecule_333,0
Molecule_334,0
Molecule_335,0
Molecule_336,0
Molecule_337,0
Molecule_338,0
Molecule_339,0
