MoleculeID,LogP_pred,LogP_predRange,AD_LogP,AD_index_LogP,Conf_index_LogP
Molecule_2916,-1.42,[-1.43:-1.22],1,0.998,0.705
Molecule_2917,-0.35,[-0.38:-0.32],1,0.998,0.906
Molecule_2918,-1.51,[-1.75:-1.16],1,0.36,0.548
Molecule_2919,3.67,[3.15:4.12],1,0.527,0.638
Molecule_2920,-2.99,[-3.19:-2.79],1,0.998,0.719
Molecule_2921,2.2,[2.15:2.25],1,0.998,0.845
Molecule_2922,6.81,[6.76:6.81],1,0.998,0.869
Molecule_2923,-2.8,[-2.89:-2.71],1,0.998,0.784
Molecule_2924,-0.64,[-1.1:-0.18],1,0.441,0.639
Molecule_2925,4.6,[4.54:4.66],1,0.998,0.88
Molecule_2926,5.05,[3.52:6.58],1,0.575,0.389
Molecule_2927,6.2,[6.09:6.21],1,0.998,0.767
Molecule_2928,7.78,[6.72:8.84],1,0.596,0.489
Molecule_2929,0.19,[-0.08:0.42],1,0.357,0.668
Molecule_2930,0.16,[0.12:0.2],1,0.998,0.954
Molecule_2932,3.95,[3.32:4.58],1,0.588,0.648
Molecule_2933,4.59,[4.54:4.59],1,0.998,0.82
Molecule_2934,-2.3,[-2.3:-2.26],1,0.998,0.84
Molecule_2935,-1.7,[-2.72:-1.04],1,0.421,0.457
Molecule_2936,6,[6:6.03],1,0.998,0.881
Molecule_2937,-0.63,[-3.16:1.9],1,0.26,0.104
Molecule_2939,1.52,[0.92:2.1],1,0.56,0.604
Molecule_2940,-0.65,[-2.06:0.76],1,0.496,0.395
Molecule_2942,1.33,[1.3:1.36],1,0.998,0.93
Molecule_2943,-2.37,[-4.92:0.18],1,0.757,0.253
Molecule_2944,3.21,[2.11:4.31],1,0.539,0.523
Molecule_2945,1.35,[0.41:2.03],1,0.556,0.51
Molecule_2946,3,[3:3.06],1,0.998,0.826
Molecule_2947,5.2,[5.1:5.3],1,0.998,0.809
Molecule_2948,-2.86,[-4.21:-1.51],1,0.619,0.474
Molecule_2949,0.19,[-1.37:1.75],0,0.161,0.261
Molecule_2950,3.65,[3.62:3.68],1,0.998,0.975
Molecule_2951,2.7,[2.66:2.74],1,0.998,0.919
Molecule_2952,-2.01,[-3.17:-0.85],1,0.504,0.452
Molecule_2953,4.4,[3.18:5.62],0,0.344,0.41
Molecule_2954,-0.15,[-0.94:0.64],1,0.323,0.408
Molecule_2955,4.16,[4.12:4.2],1,0.998,0.956
Molecule_2956,6.48,[5.5:7.52],1,0.426,0.445
Molecule_2957,2.9,[2.85:2.95],1,0.998,0.957
Molecule_2958,0.54,[0.45:0.63],1,0.998,0.816
Molecule_2959,5.11,[5.08:5.14],1,0.998,0.951
Molecule_2960,6.06,[5.23:6.89],1,0.434,0.46
Molecule_2961,-0.17,[-0.25:-0.09],1,0.998,0.782
Molecule_2962,0.78,[0.65:0.91],1,0.998,0.849
Molecule_2963,8.98,[8.66:9],1,0.998,0.659
Molecule_2964,4.09,[4.07:4.11],1,0.998,0.948
Molecule_2965,2.84,[2.81:2.87],1,0.998,0.886
Molecule_2966,3.1,[2.54:3.66],1,0.613,0.649
Molecule_2967,0.48,[0.16:0.8],1,0.566,0.723
Molecule_2968,8,[7.94:8],1,0.998,0.786
Molecule_2969,1.2,[0.08:2.75],0,0.393,0.334
Molecule_2970,-1.04,[-3:0.9],1,0.267,0.187
Molecule_2971,-0.24,[-0.92:0.4],1,0.413,0.601
Molecule_2972,1.62,[1.59:1.65],1,0.998,0.904
Molecule_2973,-0.95,[-0.95:-0.9],1,0.998,0.842
Molecule_2974,0.94,[0.93:0.95],1,0.998,0.958
