Molecule name,Salt_Solvent_ID
Molecule_1,0
Molecule_2,0
Molecule_3,0
Molecule_4,0
Molecule_5,0
Molecule_6,0
Molecule_7,2042
Molecule_8,0
Molecule_9,0
Molecule_10,0
Molecule_11,0
Molecule_12,0
Molecule_21,0
Molecule_24,0
Molecule_25,0
Molecule_26,0
Molecule_27,0
Molecule_29,2122
Molecule_30,0
Molecule_31,0
Molecule_32,0
Molecule_33,0
Molecule_34,0
Molecule_39,0
Molecule_41,0
Molecule_42,0
Molecule_43,0
Molecule_45,0
Molecule_46,0
Molecule_47,0
Molecule_48,0
Molecule_49,1767
Molecule_50,0
Molecule_51,0
Molecule_52,0
Molecule_53,0
Molecule_54,0
Molecule_55,0
Molecule_56,0
Molecule_57,0
Molecule_58,0
Molecule_59,0
Molecule_62,0
Molecule_63,0
Molecule_66,0
Molecule_70,0
Molecule_73,0
Molecule_74,0
Molecule_75,0
Molecule_77,0
Molecule_78,0
Molecule_79,0
Molecule_80,0
Molecule_81,0
Molecule_87,0
Molecule_88,0
Molecule_89,0
Molecule_90,0
Molecule_91,0
Molecule_92,0
Molecule_93,0
Molecule_94,0
Molecule_96,0
Molecule_97,0
Molecule_98,0
Molecule_99,0
Molecule_100,0
Molecule_101,0
Molecule_103,0
Molecule_105,0
Molecule_106,0
Molecule_107,0
Molecule_108,0
Molecule_109,0
Molecule_110,0
Molecule_111,0
Molecule_112,0
Molecule_113,0
Molecule_114,0
Molecule_115,0
Molecule_116,0
Molecule_117,0
Molecule_118,0
Molecule_119,0
Molecule_120,0
Molecule_121,260
Molecule_122,0
Molecule_124,0
Molecule_125,0
Molecule_126,0
Molecule_127,2032
Molecule_128,0
Molecule_129,0
Molecule_130,0
Molecule_131,0
Molecule_132,0
Molecule_136,0
Molecule_137,0
Molecule_138,0
Molecule_139,0
Molecule_140,0
Molecule_141,0
Molecule_142,0
Molecule_143,0
Molecule_144,0
Molecule_146,0
Molecule_147,0
Molecule_148,0
Molecule_149,0
Molecule_150,0
Molecule_151,0
Molecule_152,0
Molecule_153,0
Molecule_154,0
Molecule_155,0
Molecule_156,0
Molecule_157,0
Molecule_158,0
Molecule_159,0
Molecule_160,0
Molecule_161,0
Molecule_164,0
Molecule_168,0
Molecule_169,0
Molecule_175,0
Molecule_176,0
Molecule_177,0
Molecule_178,0
Molecule_179,0
Molecule_180,0
Molecule_181,0
Molecule_182,0
Molecule_183,0
Molecule_184,0
Molecule_185,0
Molecule_186,0
Molecule_188,0
Molecule_189,0
Molecule_190,0
Molecule_191,0
Molecule_192,0
Molecule_193,0
Molecule_194,0
Molecule_195,0
Molecule_196,0
Molecule_197,0
Molecule_198,0
Molecule_199,0
Molecule_200,0
Molecule_201,0
Molecule_202,170
Molecule_203,0
Molecule_204,0
Molecule_205,0
Molecule_206,0
Molecule_208,0
Molecule_209,0
Molecule_210,0
Molecule_211,0
Molecule_212,0
Molecule_213,0
Molecule_214,0
Molecule_215,0
Molecule_216,0
Molecule_217,0
Molecule_218,0
Molecule_219,0
Molecule_220,0
Molecule_221,0
Molecule_222,0
Molecule_223,0
Molecule_224,0
Molecule_225,0
Molecule_226,0
Molecule_227,0
Molecule_228,0
Molecule_229,0
Molecule_230,0
Molecule_231,0
Molecule_232,0
Molecule_233,0
Molecule_234,0
Molecule_236,0
Molecule_237,0
Molecule_239,0
Molecule_240,0
Molecule_241,0
Molecule_243,0
Molecule_244,0
Molecule_245,0
Molecule_246,0
Molecule_247,0
Molecule_248,0
Molecule_249,0
Molecule_250,0
Molecule_251,0
Molecule_252,0
Molecule_254,0
Molecule_255,0
Molecule_256,110
Molecule_257,0
Molecule_258,0
