MoleculeID,LogP_pred,LogP_predRange,AD_LogP,AD_index_LogP,Conf_index_LogP
Molecule_1055,6.41,[5.22:7.6],1,0.553,0.463
Molecule_1056,2.07,[2.05:2.07],1,0.999,0.992
Molecule_1059,4.83,[3.6:5.8],1,0.503,0.466
Molecule_1060,-0.55,[-1.89:0.5],1,0.465,0.383
Molecule_1062,4.3,[4.24:4.36],1,0.998,0.901
Molecule_1063,7.32,[5.83:8.81],0,0.429,0.353
Molecule_1065,3.64,[2.97:4.3],1,0.539,0.573
Molecule_1066,3.1,[3.02:3.18],1,0.998,0.799
Molecule_1067,3.04,[2.37:3.71],0,0.324,0.472
Molecule_1068,-0.62,[-2.55:1.17],0,0.174,0.183
Molecule_1070,-1.86,[-2.76:-0.96],1,0.6,0.569
Molecule_1071,1.83,[1.41:2.17],1,0.521,0.686
Molecule_1073,3.83,[3.81:3.85],1,0.998,0.931
Molecule_1074,11.6,[11.46:11.6],1,0.998,0.697
Molecule_1076,3.38,[3.3:3.46],1,0.998,0.781
Molecule_1077,6.16,[3.12:8.23],1,0.448,0.1
Molecule_1083,2.89,[1.88:3.9],1,0.544,0.505
Molecule_1085,-2.65,[-4.16:-1.14],1,0.348,0.314
Molecule_1086,7.02,[6.73:7.04],1,0.998,0.69
Molecule_1087,2.46,[1.22:3.7],1,0.592,0.469
Molecule_1088,3.56,[3.46:3.57],1,0.998,0.781
Molecule_1089,0.39,[-1.3:2.08],1,0.563,0.343
Molecule_1090,6.5,[6.46:6.54],1,0.998,0.888
Molecule_1091,0.18,[-1.16:1.52],1,0.468,0.364
Molecule_1092,3.83,[3.72:3.84],1,0.998,0.818
Molecule_1093,2.59,[2.53:2.65],1,0.998,0.83
Molecule_1094,3.65,[3.61:3.69],1,0.998,0.983
Molecule_1095,1.91,[1.91:1.99],1,0.998,0.772
Molecule_1096,3.33,[2.55:4.11],1,0.529,0.544
Molecule_1097,4.4,[4.32:4.48],1,0.998,0.793
Molecule_1098,3.39,[3.34:3.44],1,0.998,0.946
Molecule_1099,-1.81,[-1.87:-1.75],1,0.998,0.96
Molecule_1100,4.1,[4.02:4.1],1,0.998,0.761
Molecule_1103,3.8,[3.8:3.84],1,0.998,0.895
Molecule_1107,1.21,[-1.19:3.61],1,0.569,0.231
Molecule_1110,1.73,[1.69:1.73],1,0.998,0.816
Molecule_1111,-0.85,[-0.97:-0.73],1,0.665,0.786
Molecule_1112,1.22,[1.05:1.23],1,0.998,0.737
Molecule_1113,1.29,[1.27:1.31],1,0.998,0.982
Molecule_1114,-0.17,[-1.53:1],1,0.473,0.427
Molecule_1115,0.18,[-0.1:0.42],1,0.393,0.677
Molecule_1116,2.4,[2.39:2.41],1,0.998,0.978
Molecule_1117,0.49,[0.45:0.53],1,0.998,0.905
Molecule_1121,5.12,[3.96:6.28],1,0.609,0.506
Molecule_1122,9.63,[9.52:9.63],1,0.998,0.733
Molecule_1131,2.43,[2.34:2.52],1,0.998,0.785
Molecule_1132,1.2,[1.14:1.26],1,0.998,0.839
Molecule_1137,0.77,[-0.6:2.1],1,0.426,0.421
Molecule_1139,-2.2,[-2.74:-1.81],0,0.461,0.654
Molecule_1140,0.88,[-0.06:1.82],1,0.676,0.578
Molecule_1141,2.8,[2.77:2.83],1,0.998,0.963
Molecule_1146,3.54,[3.49:3.59],1,0.998,0.891
Molecule_1148,-3.74,[-4.7:-2.47],0,0.471,0.411
Molecule_1149,1.2,[1.1:1.2],1,0.998,0.731
Molecule_1151,2.95,[2.68:3.22],1,0.786,0.805
Molecule_1152,1.76,[0.92:2.54],0,0.302,0.456
Molecule_1153,4.47,[3.69:5.38],1,0.578,0.527
Molecule_1154,-1.87,[-2.65:-1.17],1,0.618,0.6
Molecule_1155,2.81,[2.16:3.39],1,0.622,0.619
Molecule_1156,5.27,[3.17:7.04],1,0.856,0.372
Molecule_1157,4.74,[4.5:4.98],1,0.998,0.862
Molecule_1158,3.12,[2.9:3.34],1,0.734,0.806
Molecule_1159,-4.05,[-4.3:-3.78],1,0.999,0.866
Molecule_1160,0.4,[-0.76:1.56],1,0.282,0.397
Molecule_1162,2.93,[2.88:2.98],1,0.998,0.912
Molecule_1163,-0.41,[-2.47:1.65],1,0.463,0.239
Molecule_1164,0.18,[-0.1:0.42],1,0.393,0.677
Molecule_1165,7.88,[6.15:9.69],1,0.738,0.389
Molecule_1168,4.45,[4.42:4.48],1,0.998,0.934
Molecule_1171,-2.85,[-4.3:-1.32],1,0.687,0.461
Molecule_1172,5.46,[3.9:7.02],1,0.416,0.383
Molecule_1173,-3,[-3:-2.94],1,0.998,0.794
Molecule_1174,1.96,[1.91:2.01],1,0.998,0.889
Molecule_1176,-2.9,[-4.18:-1.62],1,0.682,0.51
Molecule_1177,-2.89,[-4.19:-1.59],1,0.668,0.502
Molecule_1178,-1.48,[-1.5:-1.46],1,0.998,0.904
Molecule_1179,2.11,[2.09:2.11],1,0.998,0.953
Molecule_1180,6.5,[6.5:6.6],1,0.998,0.781
Molecule_1181,8.93,[7.63:10.23],1,0.489,0.44
Molecule_1182,4.46,[4.46:4.51],1,0.998,0.885
Molecule_1183,3.4,[3.37:3.43],1,0.998,0.958
Molecule_1185,1.32,[1.29:1.35],1,0.998,0.964
Molecule_1186,-1.31,[-2.48:0.14],1,0.536,0.401
Molecule_1187,-2.48,[-2.48:-2.37],1,0.998,0.757
Molecule_1188,-1.28,[-2.46:-0.1],1,0.56,0.451
Molecule_1189,6.2,[6.17:6.23],1,0.998,0.936
Molecule_1190,4.3,[4.26:4.34],1,0.998,0.92
Molecule_1191,4.1,[4.1:4.12],1,0.998,0.968
Molecule_1192,2.32,[2.32:2.37],1,0.998,0.87
Molecule_1193,5.73,[5.37:6.09],1,0.696,0.73
Molecule_1194,3.24,[3.17:3.31],1,0.998,0.95
Molecule_1195,3.19,[2.31:4.07],1,0.504,0.493
Molecule_1196,5.47,[5.33:5.61],1,0.998,0.925
Molecule_1197,2.36,[2.34:2.36],1,0.998,0.957
Molecule_1198,-1.31,[-1.37:-1.25],1,0.998,0.835
Molecule_1199,4.5,[4.44:4.5],1,0.998,0.827
Molecule_1200,-0.39,[-0.59:-0.19],1,0.581,0.725
Molecule_1201,-0.63,[-1.07:-0.19],1,0.523,0.67
Molecule_1202,3.36,[2.89:3.83],0,0.302,0.557
Molecule_1203,1.14,[-0.24:2.52],0,0.316,0.348
Molecule_1204,0,[-0.02:0.02],1,0.998,0.945
Molecule_1205,0.56,[-0.43:1.81],1,0.354,0.395
Molecule_1206,4.69,[4.68:4.79],1,0.998,0.78
Molecule_1207,8.99,[8.72:9],1,0.998,0.673
Molecule_1208,2.76,[1.3:3.65],1,0.595,0.469
Molecule_1209,0.73,[0.73:0.76],1,0.998,0.922
Molecule_1210,-0.81,[-0.87:-0.75],1,0.998,0.962
Molecule_1211,1.75,[1.2:2.3],1,0.68,0.688
Molecule_1212,0.25,[0.2:0.3],1,0.998,0.974
Molecule_1213,2.29,[2.09:2.3],1,0.998,0.727
Molecule_1214,1.65,[1.6:1.7],1,0.998,0.907
Molecule_1215,3.82,[2.95:4.69],1,0.618,0.638
Molecule_1216,3.97,[3.94:4],1,0.998,0.947
Molecule_1217,2.29,[2.22:2.36],1,0.998,0.862
Molecule_1218,3.2,[3.17:3.23],1,0.998,0.951
Molecule_1219,2.05,[2.01:2.09],1,0.998,0.854
Molecule_1220,-2.72,[-3.89:-1.14],1,0.586,0.429
Molecule_1221,-0.46,[-2.18:1.26],1,0.511,0.33
Molecule_1222,1.92,[1.88:1.96],1,0.998,0.925
Molecule_1223,-1.99,[-3.96:-0.02],1,0.433,0.26
Molecule_1224,-0.94,[-2.74:0.35],1,0.55,0.373
Molecule_1225,3.8,[3.75:3.8],1,0.998,0.836
Molecule_1227,2.07,[2.02:2.12],1,0.998,0.899
Molecule_1228,-0.39,[-1.61:0.79],1,0.305,0.383
Molecule_1229,6.57,[6.56:6.57],1,0.998,0.95
Molecule_1230,7.33,[6.34:8.32],1,0.702,0.568
Molecule_1231,3.21,[3.17:3.25],1,0.998,0.955
Molecule_1233,0.51,[-0.22:1.24],1,0.6,0.64
Molecule_1234,4.6,[4.56:4.64],1,0.998,0.978
Molecule_1235,3.71,[3.53:3.89],1,0.998,0.8
Molecule_1236,3.37,[2.9:3.84],1,0.277,0.513
Molecule_1237,0.26,[0.24:0.28],1,0.998,0.876
Molecule_1239,1.3,[1.26:1.34],1,0.998,0.86
Molecule_1240,1.84,[-1.9:5.58],1,0.397,0.1
Molecule_1241,-0.84,[-0.84:-0.82],1,0.998,0.91
Molecule_1242,6.74,[6.36:7.12],1,0.647,0.732
Molecule_1243,1.11,[-0.08:2.3],1,0.424,0.491
Molecule_1244,0.11,[-0.19:0.41],1,0.479,0.695
Molecule_1245,3.4,[3.36:3.44],1,0.998,0.863
Molecule_1246,5.41,[5.41:5.44],1,0.998,0.842
Molecule_1247,3.98,[3.27:4.69],1,0.564,0.603
Molecule_1248,-3.61,[-4.3:-2.56],1,0.911,0.652
Molecule_1249,1.24,[1.24:1.31],1,0.998,0.862
Molecule_1250,1.22,[1.2:1.24],1,0.998,0.981
Molecule_1251,7.5,[7.35:7.65],1,0.998,0.835
Molecule_1252,-0.33,[-0.34:-0.27],1,0.998,0.819
Molecule_1253,1.78,[1.38:2.18],1,0.495,0.662
Molecule_1254,1.03,[0.94:1.12],1,0.998,0.79
Molecule_1255,6.5,[6.45:6.5],1,0.998,0.824
Molecule_1256,1.1,[1.04:1.16],1,0.998,0.891
Molecule_1257,7.85,[6.5:9.85],1,0.463,0.273
Molecule_1258,0.96,[0.91:1.01],1,0.998,0.877
Molecule_1259,-1.59,[-1.75:-1.43],1,0.998,0.75
Molecule_1260,1.27,[0.9:1.83],1,0.483,0.669
Molecule_1262,0.47,[0.44:0.5],1,0.998,0.936
Molecule_1263,1.63,[1.61:1.65],1,0.998,0.913
Molecule_1264,2.87,[0.67:5.07],1,0.507,0.236
Molecule_1265,6.99,[6.71:7],1,0.998,0.67
Molecule_1266,-1.6,[-1.6:-1.55],1,0.998,0.763
Molecule_1267,1.91,[1.85:1.91],1,0.998,0.802
Molecule_1268,3.78,[3.1:4.68],1,0.533,0.546
Molecule_1269,2.1,[2.04:2.16],1,0.998,0.936
Molecule_1273,-1.43,[-3.78:0.92],1,0.423,0.196
Molecule_1275,3.36,[2.86:3.86],1,0.521,0.632
Molecule_1276,4.16,[3.56:4.7],0,0.26,0.452
Molecule_1278,1.12,[0.97:1.27],1,0.998,0.777
Molecule_1279,3.69,[3.18:4.2],1,0.505,0.565
