MoleculeID,LogP_pred,LogP_predRange,AD_LogP,AD_index_LogP,Conf_index_LogP
Molecule_1282,2.79,[2.79:2.87],1,0.998,0.777
Molecule_1284,-1.28,[-2.53:-0.03],1,0.329,0.37
Molecule_1286,2.02,[1.99:2.05],1,0.998,0.944
Molecule_1287,7,[6.97:7.03],1,0.998,0.847
Molecule_1288,-1.44,[-2.39:-0.49],1,0.334,0.455
Molecule_1289,4.11,[4.1:4.24],1,0.998,0.729
Molecule_1290,2.47,[2.43:2.51],1,0.998,0.863
Molecule_1294,2.47,[2.44:2.47],1,0.998,0.918
Molecule_1295,1.52,[0.88:2.46],1,0.506,0.511
Molecule_1296,0.3,[0.26:0.34],1,0.998,0.946
Molecule_1298,-3.1,[-4.6:-1.52],1,0.563,0.367
Molecule_1299,2.64,[2.61:2.67],1,0.998,0.944
Molecule_1300,-2.11,[-2.12:-1.89],1,0.998,0.695
Molecule_1301,1.6,[1.32:1.87],1,0.425,0.604
Molecule_1302,3.65,[2.45:4.85],0,0.36,0.451
Molecule_1303,3.4,[3.37:3.43],1,0.998,0.916
Molecule_1304,3.69,[3.28:4.1],1,0.579,0.652
Molecule_1305,0.01,[-0.01:0.07],1,0.998,0.83
Molecule_1306,1.34,[1.32:1.36],1,0.998,0.951
Molecule_1307,-4.05,[-4.3:-3.78],1,0.999,0.866
Molecule_1308,5.7,[5.68:5.7],1,0.998,0.951
Molecule_1309,1.94,[1.94:1.96],1,0.998,0.974
Molecule_1310,1.58,[1.56:1.6],1,0.998,0.962
Molecule_1311,4.9,[4.84:4.9],1,0.998,0.879
Molecule_1312,-1.34,[-2.94:-0.29],1,0.603,0.42
Molecule_1313,-0.27,[-1.82:0.93],1,0.591,0.396
Molecule_1315,1.6,[1.56:1.64],1,0.998,0.968
Molecule_1317,0.17,[-0.11:0.42],1,0.415,0.682
Molecule_1318,-0.36,[-0.38:-0.34],1,0.998,0.963
Molecule_1319,1.6,[1.59:1.68],1,0.998,0.812
Molecule_1320,-0.18,[-0.48:0.12],1,0.572,0.711
Molecule_1321,10.4,[10.26:10.4],1,0.998,0.687
Molecule_1322,2.61,[2.45:2.77],1,0.693,0.794
Molecule_1323,1.9,[1.89:1.9],1,0.998,0.954
Molecule_1324,-3.69,[-3.7:-3.5],1,0.998,0.718
Molecule_1325,2,[1.62:2.38],1,0.519,0.684
Molecule_1327,2.83,[2.46:3.1],1,0.501,0.637
Molecule_1328,2.3,[2.27:2.33],1,0.998,0.98
Molecule_1329,3.65,[3.23:4.07],1,0.585,0.676
Molecule_1330,-0.05,[-0.1:-0.04],1,0.998,0.834
Molecule_1331,5.59,[5.49:5.59],1,0.998,0.794
Molecule_1332,5.5,[5.45:5.55],1,0.998,0.951
Molecule_1333,3.34,[0.35:6.33],1,0.509,0.108
Molecule_1334,5.1,[5.05:5.15],1,0.998,0.834
Molecule_1335,-0.13,[-0.17:-0.09],1,0.998,0.902
Molecule_1336,-0.35,[-0.37:-0.33],1,0.998,0.979
Molecule_1337,-2.91,[-4.1:-1.72],1,0.749,0.553
Molecule_1338,1.31,[0.72:1.9],1,0.464,0.599
Molecule_1339,1.31,[1.22:1.4],1,0.998,0.853
Molecule_1341,4.12,[4.01:4.23],1,0.998,0.856
Molecule_1342,-2.77,[-2.78:-2.61],1,0.998,0.719
Molecule_1343,6,[5.99:6.01],1,0.998,0.837
Molecule_1344,4.7,[4.7:4.73],1,0.999,0.993
Molecule_1345,2.39,[2.06:2.72],1,0.578,0.701
Molecule_1346,-0.2,[-0.46:0.13],1,0.625,0.724
Molecule_1347,6.65,[6.01:7.29],1,0.485,0.578
Molecule_1349,2.3,[2.25:2.35],1,0.998,0.833
Molecule_1351,-3.19,[-5.28:-1.1],0,0.324,0.195
Molecule_1352,1.87,[-0.28:3.83],0,0.175,0.126
Molecule_1353,1.7,[1.68:1.72],1,0.998,0.926
Molecule_1355,2.86,[2.82:2.9],1,0.998,0.975
Molecule_1356,3.76,[3.72:3.8],1,0.998,0.892
Molecule_1357,2.42,[2.06:2.78],1,0.777,0.811
Molecule_1358,3.72,[3.38:3.74],1,0.998,0.659
Molecule_1359,-3.1,[-4.35:-1.85],1,0.534,0.407
Molecule_1360,3.29,[3.03:3.53],1,0.633,0.8
Molecule_1361,-0.55,[-1.51:0.36],1,0.442,0.44
Molecule_1362,-0.1,[-2.07:1.87],1,0.235,0.194
Molecule_1363,3.55,[3.48:3.62],1,0.998,0.866
Molecule_1364,1.98,[1.94:2.02],1,0.998,0.98
Molecule_1365,6.32,[5.44:7.4],1,0.543,0.641
Molecule_1366,6,[4.68:7.32],1,0.525,0.421
Molecule_1367,4.37,[4.35:4.39],1,0.998,0.94
Molecule_1368,-0.45,[-1.24:0.3],1,0.523,0.63
Molecule_1369,6.85,[6.82:6.85],1,0.998,0.858
Molecule_1370,2.2,[2.14:2.26],1,0.998,0.853
Molecule_1371,3.73,[3.72:3.74],1,0.998,0.981
Molecule_1372,0.79,[0.43:1.15],1,0.802,0.764
Molecule_1373,1.22,[1.11:1.23],1,0.998,0.821
Molecule_1374,-2.91,[-4.13:-1.69],1,0.73,0.54
Molecule_1375,1.1,[0.82:1.38],1,0.666,0.749
Molecule_1376,8.09,[6:10.4],1,0.445,0.207
Molecule_1377,6.3,[6.23:6.37],1,0.998,0.896
Molecule_1378,6.5,[6.46:6.5],1,0.998,0.893
Molecule_1379,2.61,[2.27:2.95],1,0.639,0.757
Molecule_1380,0.52,[-0.08:1.12],1,0.649,0.642
Molecule_1381,-1.1,[-1.18:-1.02],1,0.998,0.875
Molecule_1382,0.82,[-0.11:1.75],1,0.839,0.602
Molecule_1383,5.49,[4.33:6.5],1,0.536,0.508
Molecule_1384,-0.69,[-1.75:-0.09],1,0.724,0.563
Molecule_1385,3.43,[0.8:7.15],0,0.346,0.1
Molecule_1386,0.3,[0.3:0.37],1,0.998,0.813
Molecule_1387,-0.27,[-2.56:2.02],1,0.274,0.154
Molecule_1388,5.34,[5.31:5.37],1,0.998,0.941
Molecule_1389,3.65,[3.04:4.26],1,0.514,0.598
Molecule_1390,8.55,[7.37:9.73],1,0.64,0.488
Molecule_1391,0.07,[-0.4:0.54],0,0.198,0.47
Molecule_1392,3.98,[2.68:5.28],1,0.375,0.39
Molecule_1393,4.29,[3.18:5.4],0,0.334,0.411
Molecule_1394,0.63,[-2.2:3.46],1,0.498,0.142
Molecule_1395,4.8,[2.87:6.5],1,0.335,0.241
Molecule_1396,2.65,[0.24:6.35],1,0.291,0.1
Molecule_1397,6.39,[3.49:8.23],1,0.505,0.136
Molecule_1398,0.84,[0.29:1.39],1,0.563,0.677
Molecule_1399,-2.91,[-4.3:-1.3],1,0.766,0.467
Molecule_1400,0.41,[-1.24:2.06],1,0.511,0.333
Molecule_1401,0.86,[-0.34:2],1,0.649,0.481
Molecule_1402,-1.5,[-1.59:-1.41],1,0.998,0.833
Molecule_1403,3.52,[3.49:3.52],1,0.998,0.892
Molecule_1404,2.97,[1.99:3.95],1,0.548,0.504
Molecule_1405,3.9,[3.84:3.9],1,0.998,0.82
Molecule_1406,-3.16,[-4.9:-1.42],1,0.443,0.297
Molecule_1407,2.25,[1.15:3.35],1,0.284,0.414
Molecule_1408,0.35,[0.35:0.42],1,0.998,0.788
Molecule_1409,-1.54,[-1.61:-1.47],1,0.998,0.831
Molecule_1410,2.99,[2.96:3.02],1,0.998,0.934
Molecule_1411,3.7,[3.64:3.76],1,0.998,0.892
Molecule_1412,6.14,[4.63:7.6],1,0.559,0.398
Molecule_1413,1.57,[0.67:2.47],1,0.642,0.598
Molecule_1414,3.02,[2.66:3.38],1,0.54,0.663
Molecule_1415,1.61,[0.5:2.72],1,0.486,0.467
Molecule_1416,3.07,[3:3.14],1,0.998,0.875
Molecule_1417,3.09,[2.69:3.49],1,0.65,0.714
Molecule_1418,3.82,[3.78:3.83],1,0.998,0.914
Molecule_1419,0.95,[0.87:1.03],1,0.998,0.812
Molecule_1420,-0.03,[-0.55:0.49],1,0.376,0.49
Molecule_1421,6.74,[6:7.67],0,0.465,0.491
Molecule_1422,4.8,[2.39:6.58],1,0.428,0.18
Molecule_1423,1.89,[0.53:3.25],1,0.521,0.454
Molecule_1424,5.77,[5.7:5.77],1,0.998,0.78
Molecule_1425,1.09,[1.06:1.09],1,0.998,0.934
Molecule_1426,3.6,[3.53:3.67],1,0.998,0.836
Molecule_1427,-1.71,[-4.11:1.27],0,0.199,0.1
Molecule_1428,-3.05,[-3.69:-2.41],0,0.279,0.5
Molecule_1429,2.18,[1.49:2.87],1,0.484,0.626
Molecule_1430,0.94,[0.91:0.97],1,0.998,0.876
Molecule_1431,-0.91,[-0.92:-0.83],1,0.998,0.849
Molecule_1432,3.8,[3.75:3.85],1,0.998,0.824
Molecule_1433,3.09,[3.04:3.1],1,0.998,0.855
Molecule_1434,3.89,[3.54:4.24],1,0.445,0.64
Molecule_1435,3.45,[3.4:3.5],1,0.998,0.878
Molecule_1436,-0.9,[-0.92:-0.83],1,0.998,0.873
Molecule_1437,6.13,[4.1:8.16],0,0.292,0.233
Molecule_1438,0.84,[0.84:0.89],1,0.998,0.882
Molecule_1439,5.26,[4.82:5.7],1,0.508,0.618
Molecule_1440,-1.4,[-1.45:-1.35],1,0.998,0.948
Molecule_1441,1.7,[0.88:2.42],1,0.556,0.616
Molecule_1442,-2.8,[-2.82:-2.78],1,0.998,0.911
Molecule_1443,1.05,[1.03:1.07],1,0.998,0.913
Molecule_1444,5.1,[5.05:5.15],1,0.998,0.938
Molecule_1445,-0.24,[-0.56:0.08],1,0.622,0.75
Molecule_1446,3.9,[3.9:3.93],1,0.998,0.892
Molecule_1447,2.31,[2.28:2.34],1,0.998,0.946
Molecule_1448,7.01,[6.15:8.37],1,0.621,0.438
Molecule_1449,-0.22,[-0.26:-0.18],1,0.998,0.864
Molecule_1450,2.15,[1.9:2.6],1,0.745,0.732
Molecule_1451,0.93,[0.89:0.97],1,0.998,0.902
Molecule_1453,0.6,[0.58:0.62],1,0.998,0.969
Molecule_1454,3.21,[3.18:3.24],1,0.998,0.914
Molecule_1456,4.56,[4.52:4.6],1,0.998,0.984
Molecule_1457,1.79,[1.22:2.16],1,0.562,0.636
Molecule_1459,5.45,[4.4:6.56],1,0.331,0.395
Molecule_1460,-0.25,[-0.28:-0.22],1,0.998,0.976
Molecule_1462,0.97,[0.12:1.82],1,0.426,0.473
Molecule_1463,5.86,[5.15:6.48],1,0.511,0.596
Molecule_1464,2.75,[2.71:2.79],1,0.998,0.96
Molecule_1469,4.15,[2.11:6.19],1,0.558,0.286
Molecule_1471,1.34,[-0.64:3.32],1,0.552,0.366
Molecule_1474,1.19,[0.89:1.49],1,0.703,0.752
Molecule_1475,6.37,[6.18:6.5],0,0.485,0.67
Molecule_1476,3.79,[3.51:4.07],1,0.565,0.7
Molecule_1478,-0.81,[-0.83:-0.79],1,0.998,0.927
Molecule_1479,2.03,[2.01:2.05],1,0.998,0.91
Molecule_1481,2.31,[1.15:3.63],1,0.613,0.462
Molecule_1482,1.06,[1.02:1.1],1,0.998,0.919
Molecule_1483,-0.31,[-1.64:1.02],1,0.48,0.444
Molecule_1484,-4.34,[-4.43:-4.25],1,0.998,0.887
Molecule_1485,7.35,[5.65:9.05],0,0.38,0.326
Molecule_1486,0.11,[0.06:0.16],1,0.998,0.84
Molecule_1487,2.84,[1.6:4.08],1,0.521,0.539
Molecule_1488,-1.7,[-4.11:1.99],0,0.23,0.1
Molecule_1490,2.9,[2.83:2.97],1,0.998,0.805
Molecule_1491,0.83,[-0.55:2.21],1,0.651,0.437
Molecule_1492,-0.77,[-0.78:-0.46],1,0.998,0.661
Molecule_1493,1.3,[1.29:1.31],1,0.998,0.981
Molecule_1494,3.65,[3.6:3.7],1,0.998,0.869
Molecule_1495,2.83,[2.34:3.32],1,0.652,0.682
Molecule_1496,6.02,[4.6:7.44],1,0.314,0.366
Molecule_1497,3.93,[1.87:5.99],1,0.502,0.266
Molecule_1498,0.11,[0.11:0.18],1,0.998,0.828
Molecule_1499,5.03,[3.65:6.41],1,0.569,0.519
Molecule_1500,5.7,[5.7:5.77],1,0.998,0.808
Molecule_1501,6.5,[6.37:6.63],1,0.998,0.819
Molecule_1502,4.12,[4.06:4.18],1,0.998,0.937
Molecule_1503,-0.71,[-1.41:0.02],1,0.525,0.605
Molecule_1504,4.73,[4.68:4.78],1,0.998,0.913
Molecule_1505,3.99,[3.97:4.01],1,0.998,0.965
Molecule_1506,4.45,[3.53:5.37],1,0.525,0.548
Molecule_1507,2.73,[0.76:4.7],1,0.346,0.3
Molecule_1508,2.07,[0.88:3.26],1,0.522,0.493
Molecule_1509,5.2,[5.09:5.31],1,0.998,0.856
Molecule_1510,3.87,[3.08:4.66],1,0.551,0.583
Molecule_1511,0.64,[0.04:1.24],1,0.578,0.589
Molecule_1512,-0.33,[-1.01:0.35],1,0.488,0.626
Molecule_1513,-1.94,[-3.91:0.03],1,0.466,0.273
Molecule_1514,0.97,[0.17:1.77],1,0.445,0.535
Molecule_1515,2.12,[2.12:2.17],1,0.998,0.866
Molecule_1516,5.6,[5.42:5.61],1,0.998,0.728
Molecule_1517,-1.6,[-2.43:-0.77],1,0.501,0.533
Molecule_1518,6.71,[5.63:7.79],0,0.4,0.447
Molecule_1519,7.67,[6.3:9.04],1,0.736,0.5
Molecule_1520,6.6,[5.83:7.37],0,0.4,0.506
Molecule_1521,6.36,[5.16:7.56],0,0.464,0.437
Molecule_1522,-1.78,[-2.19:-1.43],1,0.318,0.587
Molecule_1523,1.16,[0.24:2.08],1,0.437,0.501
Molecule_1524,-2.49,[-2.61:-2.36],1,0.998,0.741
Molecule_1525,0.39,[0.39:0.43],1,0.998,0.862
Molecule_1526,1.91,[1.09:2.73],1,0.621,0.581
Molecule_1527,1.01,[-1.78:3.8],1,0.361,0.109
Molecule_1528,1.47,[0.78:2.16],0,0.306,0.483
Molecule_1529,4.99,[4.86:5],1,0.998,0.76
Molecule_1531,3.66,[3.61:3.66],1,0.998,0.847
Molecule_1533,2.88,[1.88:3.88],1,0.481,0.544
Molecule_1534,1.27,[0.75:1.79],1,0.643,0.717
Molecule_1535,0.4,[-0.6:1.4],1,0.595,0.499
Molecule_1536,1.18,[0.27:2.09],1,0.439,0.504
Molecule_1537,2.61,[0.28:4.94],1,0.532,0.223
Molecule_1538,3.43,[2.6:4.26],1,0.591,0.566
Molecule_1539,4.66,[4.34:4.98],1,0.442,0.716
Molecule_1540,1.83,[1.05:2.54],1,0.544,0.653
Molecule_1541,3.52,[2.52:4.52],1,0.564,0.514
Molecule_1542,7.73,[6.54:8.92],0,0.495,0.448
Molecule_1543,5.94,[5.23:6.5],0,0.352,0.471
Molecule_1544,-1.59,[-3.72:0.54],0,0.347,0.218
Molecule_1545,3.44,[2.82:4.06],1,0.631,0.678
Molecule_1546,7.2,[7.07:7.33],1,0.998,0.77
Molecule_1547,6.62,[5.26:8.13],1,0.412,0.366
Molecule_1548,2.9,[0.13:5.67],0,0.104,0.1
Molecule_1549,5.46,[3.83:7.09],0,0.244,0.276
Molecule_1550,5.19,[4.42:5.76],1,0.715,0.694
Molecule_1551,1.53,[1.48:1.53],1,0.998,0.871
Molecule_1552,-2.51,[-3.2:-1.82],1,0.82,0.686
Molecule_1553,6.08,[5.08:7.08],1,0.589,0.509
Molecule_1554,1.27,[0.45:2.24],1,0.597,0.562
Molecule_1555,1.76,[1.76:1.8],1,0.998,0.854
Molecule_1556,3.2,[3.16:3.24],1,0.998,0.925
Molecule_1557,1.26,[0.9:1.81],1,0.455,0.661
Molecule_1558,3.15,[1.04:6.28],1,0.423,0.1
Molecule_1559,2.9,[2.84:2.96],1,0.998,0.932
Molecule_1560,4.28,[2.8:5.76],1,0.355,0.345
Molecule_1561,2.9,[2.25:3.55],0,0.34,0.556
Molecule_1562,1.52,[0.21:2.83],1,0.53,0.428
Molecule_1563,6.5,[6.38:6.62],1,0.998,0.793
Molecule_1564,4.64,[4.61:4.67],1,0.998,0.933
Molecule_1565,4.9,[4.35:5.45],1,0.52,0.586
Molecule_1566,5.55,[3.72:7.38],0,0.329,0.321
Molecule_1567,2.83,[2.44:3.1],1,0.499,0.66
Molecule_1568,6.5,[6.46:6.54],1,0.998,0.884
Molecule_1569,6.4,[6.08:6.72],1,0.576,0.696
Molecule_1570,2.41,[2.29:2.53],1,0.998,0.887
Molecule_1571,1.35,[0.6:2.1],0,0.13,0.425
Molecule_1572,5.95,[3.88:8.02],0,0.256,0.2
Molecule_1573,1.22,[0.03:2.81],1,0.627,0.406
Molecule_1574,3.2,[3.2:3.24],1,0.998,0.894
Molecule_1575,3.47,[3.44:3.5],1,0.998,0.978
Molecule_1577,3.44,[2.83:4.05],1,0.512,0.583
Molecule_1578,-0.07,[-0.66:0.5],1,0.638,0.644
Molecule_1579,1.18,[1.11:1.18],1,0.998,0.816
Molecule_1580,-2.04,[-4:-0.08],1,0.406,0.263
Molecule_1582,1.44,[-0.97:3.85],0,0.301,0.142
Molecule_1583,8.7,[8.59:8.7],1,0.998,0.715
Molecule_1584,4.28,[4.23:4.28],1,0.998,0.837
Molecule_1585,5.29,[5.26:5.32],1,0.998,0.96
Molecule_1586,5,[4:6],1,0.429,0.455
Molecule_1587,-1.4,[-3.39:1.29],0,0.219,0.1
Molecule_1590,-1.69,[-2.71:-1.04],1,0.43,0.461
Molecule_1591,-1.69,[-2.71:-1.04],1,0.434,0.463
Molecule_1592,5.03,[2.64:7.42],0,0.428,0.206
Molecule_1593,0.5,[0.46:0.54],1,0.998,0.946
Molecule_1594,5.8,[5.75:5.85],1,0.998,0.788
Molecule_1595,3.82,[2.38:5.1],0,0.305,0.308
Molecule_1596,4.08,[4.03:4.11],1,0.998,0.888
Molecule_1597,6.5,[6.44:6.56],1,0.998,0.89
Molecule_1598,5.71,[4.85:6.5],0,0.382,0.476
Molecule_1599,5.98,[4.67:7.29],0,0.349,0.383
Molecule_1600,2.96,[2.9:3.02],1,0.998,0.958
Molecule_1601,3.81,[3.4:4.22],1,0.568,0.679
Molecule_1602,1.96,[1.91:2.01],1,0.998,0.951
Molecule_1604,0.95,[0.92:0.98],1,0.998,0.979
Molecule_1605,6.59,[6.54:6.64],1,0.998,0.864
Molecule_1606,3.39,[2.04:4.74],1,0.484,0.406
Molecule_1607,-0.86,[-0.97:-0.75],1,0.574,0.754
Molecule_1608,2.06,[1.52:2.6],1,0.502,0.634
Molecule_1609,2.98,[2.94:3.02],1,0.998,0.901
Molecule_1610,0.27,[-0.09:0.78],1,0.564,0.652
Molecule_1611,-1.79,[-2.65:-1.1],1,0.546,0.572
Molecule_1612,6.2,[6.11:6.29],1,0.998,0.835
Molecule_1613,4.22,[3.8:4.73],1,0.774,0.754
Molecule_1614,3.72,[3.58:3.73],1,0.998,0.738
Molecule_1615,0.59,[0.52:0.66],1,0.998,0.885
Molecule_1616,-4.49,[-4.5:-4.21],1,0.998,0.66
Molecule_1617,2.61,[2.55:2.67],1,0.998,0.879
Molecule_1618,4.64,[4.55:4.73],1,0.998,0.809
Molecule_1619,5.15,[4.32:5.98],1,0.607,0.614
Molecule_1621,2.21,[2.21:2.25],1,0.998,0.897
Molecule_1622,2.18,[2.15:2.21],1,0.998,0.906
Molecule_1623,4.11,[3.46:4.76],1,0.442,0.558
Molecule_1624,2.67,[1.67:3.67],1,0.442,0.462
Molecule_1625,3.9,[3.85:3.95],1,0.998,0.887
Molecule_1626,0.98,[0.65:1.31],1,0.804,0.791
Molecule_1627,5.78,[5.67:5.89],1,0.998,0.847
Molecule_1628,3.87,[3.3:4.48],1,0.52,0.593
Molecule_1629,3.41,[3.38:3.44],1,0.998,0.938
Molecule_1630,4.56,[4.5:4.62],1,0.998,0.879
Molecule_1631,0.96,[0.44:1.39],1,0.612,0.666
Molecule_1632,6.59,[6:7.27],0,0.221,0.482
Molecule_1633,2.3,[2.03:2.57],1,0.437,0.688
Molecule_1634,-1.21,[-3.36:0.94],1,0.599,0.288
Molecule_1635,2.13,[1.69:2.54],1,0.585,0.664
Molecule_1636,1.6,[1.45:1.75],1,0.61,0.757
Molecule_1637,1.73,[1.73:1.82],1,0.998,0.792
Molecule_1638,-2.4,[-3.24:-1.19],1,0.303,0.347
Molecule_1639,-2.33,[-3:-1.61],1,0.525,0.537
Molecule_1640,1.65,[1.6:1.7],1,0.998,0.882
Molecule_1641,0.42,[-1.23:2.07],1,0.501,0.331
Molecule_1642,6.7,[6.59:6.7],1,0.998,0.774
Molecule_1643,5.51,[5.35:5.53],1,0.998,0.78
Molecule_1644,3.93,[2.7:4.8],1,0.572,0.475
Molecule_1645,1.47,[-0.52:3.05],1,0.682,0.339
Molecule_1646,5.13,[4.38:5.76],1,0.574,0.654
Molecule_1647,5.2,[5.13:5.2],1,0.998,0.787
Molecule_1648,3.9,[3.85:3.95],1,0.998,0.891
Molecule_1649,-2.19,[-2.23:-2.15],1,0.998,0.964
Molecule_1650,3.6,[3.56:3.6],1,0.998,0.86
Molecule_1651,0.03,[0.02:0.08],1,0.998,0.81
Molecule_1652,1.6,[1.6:1.68],1,0.998,0.802
Molecule_1653,2.66,[2.66:2.71],1,0.998,0.831
Molecule_1654,0.92,[-0.47:2.31],1,0.311,0.321
Molecule_1655,4.15,[4.12:4.15],1,0.998,0.872
Molecule_1656,0.77,[0.71:0.83],1,0.998,0.869
Molecule_1657,4.11,[2.72:5.49],1,0.429,0.376
Molecule_1658,-1.68,[-1.77:-1.59],1,0.998,0.889
Molecule_1660,0.01,[0:0.1],1,0.998,0.814
Molecule_1661,6.11,[6.11:6.15],1,0.998,0.854
Molecule_1662,6.2,[6.13:6.27],1,0.998,0.905
Molecule_1663,-0,[-0.13:0],1,0.998,0.725
Molecule_1664,-1.33,[-2.78:0.89],1,0.611,0.293
Molecule_1665,8.03,[7.94:8.12],1,0.998,0.865
Molecule_1666,-2.76,[-4.2:-1.28],0,0.398,0.357
Molecule_1667,4.75,[4.7:4.8],1,0.998,0.975
Molecule_1668,2.13,[1.4:2.82],1,0.505,0.565
Molecule_1669,2.82,[2.42:3.1],1,0.511,0.662
Molecule_1670,2.92,[2.87:2.97],1,0.998,0.85
Molecule_1671,2.88,[1.89:3.87],1,0.547,0.513
Molecule_1672,2.82,[2.82:2.87],1,0.998,0.857
Molecule_1673,0.85,[-0.54:2.24],1,0.338,0.332
Molecule_1674,-2,[-2.08:-1.92],1,0.998,0.867
Molecule_1677,2.9,[2.9:2.98],1,0.998,0.767
Molecule_1678,6.85,[6.72:6.86],1,0.998,0.738
Molecule_1679,-0.47,[-0.67:-0.27],1,0.627,0.787
Molecule_1680,0.65,[-0.03:1.33],0,0.304,0.465
Molecule_1681,-1.4,[-1.46:-1.34],1,0.998,0.768
Molecule_1682,1.52,[1.42:1.62],1,0.998,0.837
Molecule_1683,3.24,[2.98:3.48],1,0.604,0.71
Molecule_1684,-0.95,[-1.66:-0.24],0,0.459,0.574
Molecule_1685,4,[4:4.12],1,0.998,0.772
Molecule_1686,-3.98,[-4.4:-3.56],0,0.505,0.601
Molecule_1688,2.27,[2.04:2.46],1,0.684,0.782
Molecule_1690,0.83,[0.5:1.18],1,0.543,0.661
Molecule_1691,0.67,[0.62:0.72],1,0.998,0.848
Molecule_1692,-1.71,[-2.11:-1.31],1,0.793,0.75
Molecule_1693,3.73,[1.57:5.89],1,0.441,0.239
Molecule_1694,-0.33,[-1.1:0.51],1,0.393,0.489
Molecule_1695,5.6,[5.55:5.65],1,0.998,0.874
Molecule_1696,5.05,[4.59:5.51],1,0.718,0.753
Molecule_1698,-2.91,[-4.3:-1.3],1,0.766,0.467
Molecule_1699,7.53,[6:9.67],0,0.434,0.229
Molecule_1700,3.1,[3.05:3.15],1,0.998,0.918
Molecule_1701,8.98,[8.64:9],1,0.998,0.648
Molecule_1702,6.5,[6.46:6.54],1,0.998,0.927
Molecule_1704,1.96,[1.96:2.01],1,0.998,0.871
Molecule_1706,-1.45,[-2.71:-0.19],1,0.321,0.361
Molecule_1708,1.91,[0.6:3.35],1,0.468,0.415
Molecule_1709,0.84,[-0.83:2.51],1,0.556,0.356
Molecule_1710,2.38,[1.89:2.87],1,0.682,0.707
Molecule_1711,1.96,[1.71:2.21],0,0.456,0.674
Molecule_1712,1.11,[0.7:1.67],1,0.551,0.62
Molecule_1713,3.2,[2.43:3.97],1,0.513,0.594
Molecule_1714,-0.25,[-0.68:0.32],1,0.665,0.731
Molecule_1715,-1.16,[-2.58:0.24],1,0.61,0.479
Molecule_1716,6.19,[6.04:6.2],1,0.998,0.74
Molecule_1717,-4.26,[-5.26:-3.26],0,0.399,0.425
Molecule_1718,0.9,[0.86:0.94],1,0.998,0.974
Molecule_1719,4.77,[4.09:5.45],1,0.686,0.629
Molecule_1721,1.67,[1.49:1.85],1,0.998,0.838
Molecule_1722,-1.44,[-1.78:-0.9],1,0.342,0.554
Molecule_1724,2.02,[-0.1:3.58],1,0.525,0.285
Molecule_1725,3.82,[2.9:4.73],1,0.551,0.54
Molecule_1726,5.2,[5.13:5.27],1,0.998,0.955
Molecule_1727,-3.36,[-4.5:-1.75],0,0.363,0.307
Molecule_1728,5.91,[5.45:6.37],1,0.674,0.676
Molecule_1729,1.46,[1.38:1.46],1,0.998,0.79
Molecule_1730,3.3,[3.27:3.33],1,0.998,0.872
Molecule_1731,6.14,[5.67:6.57],1,0.696,0.695
Molecule_1732,3.07,[1.35:4.79],1,0.484,0.356
Molecule_1733,1.91,[0.7:3.16],1,0.7,0.488
Molecule_1734,6.2,[6.15:6.25],1,0.998,0.815
Molecule_1735,3.5,[3.5:3.55],1,0.998,0.852
Molecule_1736,0.23,[0.14:0.24],1,0.998,0.835
Molecule_1737,2.77,[2.25:3.29],1,0.488,0.627
Molecule_1739,1.76,[1.44:1.98],1,0.591,0.693
Molecule_1740,2.42,[2.42:2.44],1,0.998,0.942
Molecule_1741,5.47,[5.46:5.57],1,0.998,0.785
Molecule_1743,8.1,[6.5:10.09],1,0.504,0.276
Molecule_1744,5.4,[5.34:5.46],1,0.998,0.9
Molecule_1745,2.22,[2.17:2.27],1,0.998,0.863
Molecule_1746,1.37,[0.1:2.64],1,0.415,0.413
Molecule_1747,1.48,[-1.78:5.76],1,0.311,0.1
Molecule_1748,-1.78,[-1.82:-1.74],1,0.998,0.903
Molecule_1749,7.2,[7.12:7.28],1,0.998,0.779
Molecule_1750,2.01,[2.01:2.05],1,0.998,0.895
Molecule_1751,-0.35,[-0.42:-0.28],1,0.998,0.784
Molecule_1752,7.62,[6.15:9.35],1,0.577,0.354
Molecule_1753,6.04,[5.31:6.5],1,0.446,0.504
Molecule_1754,2.82,[1.82:3.82],1,0.514,0.527
Molecule_1755,1.32,[0.67:1.97],0,0.433,0.553
Molecule_1756,2.5,[2.47:2.53],1,0.998,0.93
Molecule_1757,0.26,[0.22:0.3],1,0.998,0.841
Molecule_1758,6.08,[5.67:6.49],1,0.484,0.657
Molecule_1759,3.21,[3.14:3.28],1,0.998,0.898
Molecule_1760,5.95,[4.98:6.7],1,0.507,0.492
Molecule_1761,2.21,[2.14:2.28],1,0.998,0.814
Molecule_1762,-0.79,[-0.8:-0.68],1,0.998,0.743
Molecule_1763,-2.03,[-2.68:-1.38],1,0.215,0.473
Molecule_1764,3.17,[3.16:3.18],1,0.998,0.992
Molecule_1765,5.95,[5.3:6.7],1,0.568,0.552
Molecule_1768,0.17,[-1.18:1.52],1,0.476,0.366
Molecule_1769,3.23,[3.21:3.25],1,0.998,0.98
Molecule_1770,2.42,[0.66:4.18],1,0.49,0.335
Molecule_1771,-0.02,[-0.45:0.48],1,0.527,0.639
Molecule_1772,0.54,[0.18:0.9],1,0.63,0.667
Molecule_1773,6.2,[6.14:6.26],1,0.998,0.901
Molecule_1774,0.85,[-0.43:1.96],0,0.156,0.329
