Superclass,my_class,total_count,measured_count,potent_frac,CASRN,PREFERRED_NAME,IUPAC_NAME,log POD (95% CI),uhat,dJ,training log POD,all reported log POD
Organohalogen compounds,Alkyl fluorides,444,9,0.09684684684684684,['120219-44-5'],"['N-Decyl-2,2,3,3,4,4,4-heptafluorobutanamide']","['N-Decyl-2,2,3,3,4,4,4-heptafluorobutanamide']","0.90 [-1.12, 2.20]",3.318701473,0.65,,
Organohalogen compounds,Alkyl fluorides,444,9,0.09684684684684684,['103831-29-4'],['N-[3-(Dimethylamino)propyl]-perfluorononanamide'],"['N-[3-(Dimethylamino)propyl]-2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-heptadecafluorononanamide']","0.90 [-1.35, 2.31]",3.655654706,0.59,,
Organohalogen compounds,Alkyl fluorides,444,9,0.09684684684684684,['1244856-04-9'],"['Heptanoic acid, 2,2,3,3,4,4,5,5,6,6,7,7,7-tridecafluoro-, trimethylsilyl ester']",[nan],"0.90 [-2.95, 2.18]",5.126086654,0.62,,
Organohalogen compounds,Alkyl fluorides,444,9,0.09684684684684684,['158607-41-1'],['Ethyl perfluorododecanoate'],['Ethyl tricosafluorododecanoate'],"0.91 [-1.27, 2.31]",3.581431737,0.58,,
Organohalogen compounds,Alkyl fluorides,444,9,0.09684684684684684,['328016-16-6'],"[""N'-{[4-(Dimethylamino)phenyl]methylidene}-2,2,3,3,4,4,5,5,6,6,7,7,7-tridecafluoroheptanehydrazide""]","[""N'-{[4-(Dimethylamino)phenyl]methylidene}-2,2,3,3,4,4,5,5,6,6,7,7,7-tridecafluoroheptanehydrazide""]","0.91 [-1.35, 2.59]",3.947587723,0.69,,
Organohalogen compounds,Alkyl fluorides,444,9,0.09684684684684684,['185689-57-0'],['5:2 Fluorotelomer alcohol'],"['3,3,4,4,5,5,6,6,7,7,7-Undecafluoroheptan-1-ol']","0.91 [-0.61, 1.96]",2.567438584,0.33,,
Organohalogen compounds,Alkyl fluorides,444,9,0.09684684684684684,['3109-94-2'],['Potassium perfluorohexanoate'],['Potassium undecafluorohexanoate'],"0.91 [-0.60, 1.59]",2.192111597,0.28,1.04,
Organohalogen compounds,Alkyl fluorides,444,9,0.09684684684684684,['21615-47-4'],['Ammonium perfluorohexanoate'],['Ammonium undecafluorohexanoate'],"0.91 [-0.60, 1.59]",2.192111597,0.28,1.04,1.04
Organohalogen compounds,Alkyl fluorides,444,9,0.09684684684684684,['307-24-4'],['Perfluorohexanoic acid'],['Undecafluorohexanoic acid'],"0.91 [-0.60, 1.59]",2.192111597,0.28,1.04,1.34
Organohalogen compounds,Alkyl fluorides,444,9,0.09684684684684684,['2923-26-4'],['Sodium perfluorohexanoate'],['Sodium undecafluorohexanoate'],"0.91 [-0.60, 1.59]",2.192111597,0.28,1.04,1.74
