feature,importance
VSA_EState10,0.06340937405317114
VSA_EState10,0.19971877951374334
VSA_EState10,0.0
VSA_EState10,0.006901058725946053
VSA_EState10,0.021178584993527212
VSA_EState10,0.017384925268558064
VSA_EState10,0.19516105219123125
VSA_EState10,0.257401163542028
VSA_EState10,0.2739264722191748
VSA_EState10,0.17052881162255895
VSA_EState10,0.2988635025640536
VSA_EState10,0.0
VSA_EState10,0.0014386212211805183
VSA_EState10,0.011767381455670148
VSA_EState10,0.061871796406027205
VSA_EState10,0.02735801673454931
VSA_EState10,0.25007222043696825
VSA_EState10,0.10020042553860235
VSA_EState10,0.0016806011339447016
VSA_EState10,0.03641654540175915
VSA_EState10,0.0
VSA_EState10,0.11304739520529643
VSA_EState10,0.00886916074875954
VSA_EState10,0.05303114993447796
VSA_EState10,0.21464837208526585
VSA_EState10,0.26764037106074545
VSA_EState10,0.0022450822426025867
VSA_EState10,0.0
VSA_EState10,0.001177939444501867
VSA_EState10,0.0
VSA_EState10,0.032563761215184825
VSA_EState10,0.08039429798897221
VSA_EState10,0.1920598778806961
VSA_EState10,0.2266301223784143
VSA_EState10,0.19143074147451236
VSA_EState10,0.21934058543011675
VSA_EState10,0.006190289576432895
VSA_EState10,0.23304659722210708
VSA_EState10,0.004146750040171282
VSA_EState10,0.009101536004755023
VSA_EState10,0.016452170223902374
VSA_EState10,0.0
VSA_EState10,0.21079652256069645
VSA_EState10,0.0018321892969832144
VSA_EState10,0.2239120638880424
VSA_EState10,0.24167703351033892
VSA_EState10,0.27312498189324635
VSA_EState10,0.03157098738561091
VSA_EState10,0.0
VSA_EState10,0.013334818851728648
VSA_EState10,0.2001258839091517
VSA_EState10,0.03651957648963711
VSA_EState10,0.0012434116526689205
VSA_EState10,0.0
VSA_EState10,0.22646101322620066
VSA_EState10,0.20066212917637252
VSA_EState10,0.004521937305963988
VSA_EState10,0.0010262716936406103
VSA_EState10,0.02029071728527024
VSA_EState10,0.01055567636574847
VSA_EState10,0.07900297165002523
VSA_EState10,0.1223216963894445
VSA_EState10,0.040897076990647804
VSA_EState10,0.004042191963344071
VSA_EState10,0.33756686248816165
VSA_EState10,0.017614741944304624
VSA_EState10,0.17158070275625745
VSA_EState10,0.0014911704001510917
VSA_EState10,0.02211884690599865
VSA_EState10,0.1358792792648454
VSA_EState10,0.0
VSA_EState10,0.2724781882738162
VSA_EState10,0.22952785945280993
VSA_EState10,0.2019844903112987
VSA_EState10,0.07900200692665969
VSA_EState10,0.0
VSA_EState10,0.0
VSA_EState10,0.25158229075211774
VSA_EState10,0.0
VSA_EState10,0.028669011267773933
VSA_EState10,0.0
VSA_EState10,0.30345304163521053
VSA_EState10,0.01448912092083648
VSA_EState10,0.014337893982959187
VSA_EState10,0.0032085821902854265
VSA_EState10,0.28101220540478977
VSA_EState10,0.11414947982329073
VSA_EState10,0.002775286575444597
VSA_EState10,0.0
VSA_EState10,0.2681700795799971
VSA_EState10,0.006682755990340294
VSA_EState10,0.0
VSA_EState10,0.0030932575541258557
VSA_EState10,0.20966330894042737
