Superclass,my_class,total_count,measured_count,potent_frac,CASRN,PREFERRED_NAME,IUPAC_NAME,log POD (95% CI),uhat,dJ,training log POD,all reported log POD
Organic nitrogen compounds,Amines,96,1,0.0,['70247-75-5'],"['Chromate(2-), [5,8-dichloro-2-[2-[5-chloro-2-(hydroxy-.kappa.O)phenyl]diazenyl-.kappa.N1]-1-naphthalenolato(2-)-.kappa.O][4-(hydroxy-.kappa.O)-3-[2-[2-(hydroxy-.kappa.O)-4-nitrophenyl]diazenyl-.kappa.N1]-1-naphthalenesulfonato(3-)]-, sodium (1:2)']",[nan],"1.67 [-0.24, 2.31]",2.5459308191986003,0.6,,
Organic nitrogen compounds,Amines,96,1,0.0,['12241-41-7'],"['Tricarbonyl[(1,2,3,4,5,6-η)-N-methylbenzenamine]chromium']",[nan],"1.68 [-0.62, 2.71]",3.334152885658815,0.87,,
Organic nitrogen compounds,Amines,96,1,0.0,['67924-07-6'],"['N~1~-(6-Aminohexyl)hexane-1,6-diamine--1,2-dichloroethane (1/1)']","['N~1~-(6-Aminohexyl)hexane-1,6-diamine--1,2-dichloroethane (1/1)']","1.69 [-0.16, 4.14]",4.2935016088566025,0.5,,
Organic nitrogen compounds,Amines,96,1,0.0,['83733-23-7'],"['Chromate(2-), [3-[2-[4,5-dihydro-3-methyl-5-(oxo-κO)-1-phenyl-1H-pyrazol-4-yl]diazenyl-κN1]-4-(hydroxy-κO)-5-nitrobenzenesulfonato(3-)][2-[[[2-(hydroxy-κO)phenyl]methylene]amino-κN]-4-nitrophenolato(2-)-κO]-, sodium (1:2)']",[nan],"1.70 [0.16, 2.41]",2.248090506197188,0.51,,
Organic nitrogen compounds,Amines,96,1,0.0,['618-82-6'],"[""Disodium 4,4'-(diarsene-1,2-diyl)bis{2-[(sulfomethyl)amino]phenolate}""]","[""Disodium 4,4'-(diarsene-1,2-diyl)bis{2-[(sulfomethyl)amino]phenolate}""]","1.70 [-0.66, 2.50]",3.161562378383633,0.76,,
Organic nitrogen compounds,Amines,96,1,0.0,['67846-19-9'],"['Phosphoric acid, dioctyl ester, compd. with N,N-dimethyl-1-octadecanamine (1:1)']","['Dioctyl hydrogen phosphate--N,N-dimethyloctadecan-1-amine (1/1)']","1.70 [-0.23, 2.36]",2.585474592160644,0.44,,
Organic nitrogen compounds,Amines,96,1,0.0,['71735-55-2'],"['Chromate(1-), bis[3-[4-[2-[5-chloro-2-(hydroxy-.kappa.O)-3-nitrophenyl]diazenyl-.kappa.N1]-4,5-dihydro-3-methyl-5-(oxo-.kappa.O)-1H-pyrazol-1-yl]-N-(2-hydroxyethyl)benzenesulfonamidato(2-)]-, sodium (1:1)']",[nan],"1.71 [-0.54, 2.38]",2.9129630528164783,0.75,,
Organic nitrogen compounds,Amines,96,1,0.0,['72259-07-5'],"[""Chromate(1-), [2-[2-[2-(amino-.kappa.N)-1-naphthalenyl]diazenyl-.kappa.N1]-5-nitrophenolato(2-)-.kappa.O][8-(hydroxy-.kappa.O)-7-quinolinesulfonato(2-)-.kappa.N1][2,2'-(imino-.kappa.N)bis[ethanol]]-, sodium (1:1)""]",[nan],"1.72 [0.40, 2.40]",2.000188540508117,0.61,,
Organic nitrogen compounds,Amines,96,1,0.0,['15364-25-7'],['1-Oxovanadatrane'],"[""[2,2',2''-Nitrilotri(ethan-1-olato-kappaO)(3-)](oxido)vanadium""]","1.74 [-0.59, 2.60]",3.1869193696072045,0.77,,
Organic nitrogen compounds,Amines,96,1,0.0,['67352-35-6'],"['[3-[2-[4,5-Dihydro-3-methyl-5-(oxo-κO)-1-phenyl-1H-pyrazol-4-yl]diazenyl-κN1]-2-(hydroxy-κO)-5-nitrobenzenesulfonato(3-)]chromium']",[nan],"1.76 [-0.44, 2.67]",3.113738012299261,0.75,,
Organic nitrogen compounds,Amines,96,1,0.0,['70236-61-2'],"['Chromate(2-), [2,4-dihydro-4-[(2-hydroxy-5-nitrophenyl)azo]-5-methyl-2-phenyl-3H-pyrazol-3-onato(2-)][2-hydroxy-3-[(2-hydroxy-1-naphthalenyl)azo]-5-nitrobenzenesulfonato(3-)]-, disodium']",[nan],"1.76 [0.70, 2.46]",1.757700334503563,0.41,,
Organic nitrogen compounds,Amines,96,1,0.0,['14356-36-6'],['Butylamine 4-dodecylbenzenesulfonate (1:1)'],['4-Dodecylbenzene-1-sulfonic acid--butan-1-amine (1/1)'],"1.76 [0.29, 2.53]",2.246538608351087,0.48,,
Organic nitrogen compounds,Amines,96,1,0.0,['52858-75-0'],"['2-Hydroxyethyl prop-2-enoate--N~2~,N~2~,N~4~,N~4~,N~6~,N~6~-hexakis(methoxymethyl)-1,3,5-triazine-2,4,6-triamine (1/1)']","['2-Hydroxyethyl prop-2-enoate--N~2~,N~2~,N~4~,N~4~,N~6~,N~6~-hexakis(methoxymethyl)-1,3,5-triazine-2,4,6-triamine (1/1)']","1.76 [-0.77, 2.49]",3.2622115818795474,0.53,,
Organic nitrogen compounds,Amines,96,1,0.0,['68368-56-9'],['68368-56-9 (name too long)'],[nan],"1.78 [0.32, 2.44]",2.119943361924052,0.49,,
Organic nitrogen compounds,Amines,96,1,0.0,['73297-10-6'],"['Cobaltate(3-), bis[6-amino-5-[(2-hydroxy-3,5-dinitrophenyl)azo]-1-naphthalenesulfonato(3-)]-, sodium dihydrogen']","['Cobalt(3+) sodium hydrogen 5-azanidyl-6-[(3,5-dinitro-2-oxidophenyl)diazenyl]naphthalene-1-sulfonate 6-azanidyl-5-[(3,5-dinitro-2-oxidophenyl)diazenyl]naphthalene-1-sulfonate (1/1/2/1/1)']","1.80 [0.25, 2.50]",2.2487059235382088,0.65,,
