,coverage,pred_coverage
0,0.01,0.015697921
1,0.05,0.06830717
2,0.1,0.124734832
3,0.3,0.376750106
4,0.5,0.61731014
5,0.7,0.806109461
6,0.9,0.951209164
7,0.95,0.974543912
8,0.99,0.991090369
