BNN-CDDD,BNN-MACCS,BNN-Morgan,BNN-RDKit,CP-CDDD,CP-MACCS,CP-Morgan,CP-RDKit
4.505973535776139,3.963397645950314,5.28879296183586,4.496000045537949,2.949569304031592,3.194404694112978,2.6216078849752336,2.5122205895660765
5.768438050150869,3.607854056358336,4.826856419444084,3.173964738845824,3.1359003791290685,2.768346295328574,2.9252482501142603,3.571709385162455
3.947996401786804,2.9931158065795893,4.851283192634583,3.193011444807053,2.675734319164483,2.013107199764928,2.714567894232395,2.222996350648137
4.8658738821744905,2.7387100398540496,4.887826994061469,2.833127537369728,2.994146236458908,2.3545147259881065,2.893259940257753,2.2274252886663546
4.239164960384368,3.5064999341964724,5.916883981227873,4.521346628665923,2.932860466560427,2.5848202742625923,2.9136990409763905,2.95458156176218
4.535053929686545,2.9632071107625952,5.625979050993919,3.291991341114044,4.015930603178779,2.4139723446458774,4.137867644530276,3.012907957153532
3.919160237908363,2.749017542600632,4.941948163509367,2.795777702331541,2.7422720547215143,2.5640959344407936,3.0125908360630818,2.6296633838080425
5.269367757439613,2.8903612613677976,4.798644566535948,3.380586445331573,2.422220529944892,2.4582672520163533,2.5927053202443813,1.79907919548442
4.182543143630025,3.020489633083342,4.459112218022346,3.650705224275588,2.275822182768554,2.9504642102171066,2.373407673689669,2.524248051737372
4.5488249123096445,2.643035745620727,4.917413038015354,2.971681088209152,2.5208399129134267,2.25798769135036,2.861847581565855,1.9001419163816324
4.263107967376707,3.239765292406082,6.318793630599975,3.889676445722579,2.295094854057507,2.6812068500348536,2.8752482407023208,2.3529001088587744
4.27996485829353,4.139750695228577,5.287326198816297,3.523087519407272,2.7416413146357157,2.7613362952968443,2.70223333622878,2.691966296133148
4.119182252883911,2.8043242156505586,5.448794090747832,3.24634247124195,2.315017878972962,2.5451242576780384,3.967482412915622,2.066954210553141
4.078482151031494,2.7557710886001585,6.26495702266693,3.639792439341544,2.1929421293699005,2.5412938018383877,2.41464405560902,2.3298753583647662
4.307038706541059,3.067819565534591,5.767192596197129,3.9125421822071074,2.8486359954449267,2.953303503529084,2.819212866579506,2.730694586409355
4.179681506752968,3.172667664289474,4.974135729670523,3.69623606801033,2.4195623657966245,2.2357139914698125,2.5542938759481104,2.3532551165968387
3.8805395901203146,3.432123333215713,5.7403794705867766,3.158572655916214,2.6392878757894795,2.7909863308472804,2.981893191740205,2.5885658000768634
4.247724017500877,3.027939081192016,5.860758143663406,4.522054010629654,2.450826769458714,2.6632710794632537,2.8702001357586355,2.4207840507267377
4.65447162389755,3.1849159359931947,6.232842963933944,3.816409683227539,3.662258810174365,3.785584881612546,3.407038466790714,3.5029827427009863
4.847705954313278,3.3083921313285813,4.606374496221541,3.620711517333984,3.324851782665158,3.121581636320237,3.413783952355976,3.5345336357628825
4.4385437548160525,3.7276530206203455,6.594492936134339,2.99555429816246,3.466946820864019,3.078807541964469,2.905863812196383,2.699151984125877
5.08603326678276,3.682450008392333,6.590276661515236,3.976343655586241,3.59144792600197,3.18177140601242,3.259786604012373,2.82890431019714
6.114710253477096,3.469899070262908,5.688651603460311,3.7375233650207513,3.4965573657497893,3.466558180612741,3.069397212414194,3.041231886106609
4.243765771389008,3.482799130678177,5.6169532865285845,2.8934493839740743,3.3164456658585286,2.8662623546957446,3.759261776307921,2.60148819592008
5.880602931976318,3.124935877323149,5.764899367094032,4.063853615522384,3.6971292700458,2.922346620769581,2.909480132814438,2.5842951781019177
5.146596097946167,2.890149402618408,4.70473751425743,3.852211791276931,3.2298401837439075,3.89837897370431,4.125180947460433,2.4938739964701124
4.4453483492136,2.903696620464324,4.360922628641126,4.227649307250976,2.657228014017425,2.8822804669658533,2.553891051436446,2.831592916112952
4.786448043584823,3.1990101337432857,5.850533729791641,3.455796051025391,3.814008435191284,3.211008716643974,2.566837083274512,2.852741332951956
4.72882680594921,2.7396063804626456,4.281274068355559,2.8376900315284725,2.6326653145899086,2.5738093794321424,2.939340620946592,1.951914594201542
4.904781669378281,3.2760555863380416,4.571877264976502,3.424693423509598,3.258886730575667,2.334514201867663,2.5594149910793327,2.767072982055116
5.111358016729355,2.988685965538025,6.035773074626922,3.396818906068802,2.6866202337809164,2.8798678475284705,3.15781421696675,2.5495957587458844
4.503358712792396,3.333282077312468,5.668107146024704,3.4210878729820244,2.763337030093303,2.992162397326136,2.93245917275565,2.68321388250812
