,coverage,pred_coverage
0,0.01,0.01300813
1,0.05,0.068834688
2,0.1,0.145799458
3,0.3,0.442818428
4,0.5,0.704065041
5,0.7,0.884552846
6,0.9,0.975609756
7,0.95,0.988075881
8,0.99,0.995663957
