,coverage,pred_coverage
0,0.01,0.004237288
1,0.05,0.059322034
2,0.1,0.108050847
3,0.3,0.328389831
4,0.5,0.476694915
5,0.7,0.675847458
6,0.9,0.889830508
7,0.95,0.938559322
8,0.99,0.995762712
