,coverage,pred_coverage
0,0.01,0.008474576
1,0.05,0.038135593
2,0.1,0.095338983
3,0.3,0.313559322
4,0.5,0.512711864
5,0.7,0.707627119
6,0.9,0.870762712
7,0.95,0.936440678
8,0.99,0.987288136
