,coverage,pred_coverage
0,0.01,0.013152312
1,0.05,0.056427662
2,0.1,0.109461179
3,0.3,0.342808655
4,0.5,0.564276623
5,0.7,0.781501909
6,0.9,0.93169283
7,0.95,0.967331353
8,0.99,0.990241833
