,coverage,pred_coverage
0,0.01,0.056910569
1,0.05,0.081300813
2,0.1,0.116531165
3,0.3,0.319783198
4,0.5,0.487804878
5,0.7,0.707317073
6,0.9,0.91598916
7,0.95,0.951219512
8,0.99,0.978319783
