,coverage,pred_coverage
0,0.01,0.01059322
1,0.05,0.046610169
2,0.1,0.088983051
3,0.3,0.281779661
4,0.5,0.512711864
5,0.7,0.718220339
6,0.9,0.904661017
7,0.95,0.944915254
8,0.99,1
