Seed,Model,fold,MAE,MdAE,RMSE,R2,Algorithm,Features
0,KNN_cddd,0,0.5418374951411012,0.4079335128892505,0.7283928739984654,0.6003633031028013,KNN,CDDD embedding
0,KNN_cddd,1,0.556493591242543,0.4138410290873349,0.7343983316317427,0.5296816568318687,KNN,CDDD embedding
0,KNN_cddd,2,0.6117068366936719,0.4888512131021656,0.796016290978179,0.5173277493876184,KNN,CDDD embedding
0,KNN_cddd,3,0.5510883665202596,0.40158331838825534,0.7529257552355592,0.5348666847728478,KNN,CDDD embedding
0,KNN_cddd,4,0.5194365101937787,0.4098251563185995,0.7213366550547484,0.6044500507230602,KNN,CDDD embedding
0,KNN_cddd,5,0.5968157983074167,0.44559207640543264,0.829391274724164,0.44548984964041605,KNN,CDDD embedding
0,KNN_cddd,6,0.5395280501222098,0.40461248485596824,0.7151287382453491,0.599883659999085,KNN,CDDD embedding
0,KNN_cddd,7,0.5626123462052774,0.46317871391459664,0.7595076817096578,0.49756344992767176,KNN,CDDD embedding
0,KNN_cddd,8,0.5578953668386081,0.43193044212794707,0.7411546366614222,0.5394264224915577,KNN,CDDD embedding
0,KNN_cddd,9,0.5839176047387324,0.4576018272846638,0.7593591187161108,0.5732460371810881,KNN,CDDD embedding
0,KNN_maccs,0,0.4774681950266088,0.3487626293509596,0.6479550848935555,0.6837549118977366,KNN,MACCS fingerprint
0,KNN_maccs,1,0.5616629040318075,0.4238520403946442,0.8075688922701051,0.43129412199827166,KNN,MACCS fingerprint
0,KNN_maccs,2,0.5951433961613154,0.4929921726865487,0.7851360509414161,0.5304322541185634,KNN,MACCS fingerprint
0,KNN_maccs,3,0.5624432334283773,0.4029785802180559,0.7593201242080803,0.5269326656485779,KNN,MACCS fingerprint
0,KNN_maccs,4,0.5422036325865691,0.41692243110520977,0.7194622489934482,0.6065030669373352,KNN,MACCS fingerprint
0,KNN_maccs,5,0.5522469199827303,0.41106381873477327,0.7632992099982417,0.5303436466678003,KNN,MACCS fingerprint
0,KNN_maccs,6,0.5382319246141134,0.3983938115565979,0.7688581005971444,0.5375016216553166,KNN,MACCS fingerprint
0,KNN_maccs,7,0.49433335062479644,0.3634637210155265,0.6999370265248086,0.5732880357064429,KNN,MACCS fingerprint
0,KNN_maccs,8,0.5122461550101993,0.42017666483983906,0.6562122595694613,0.6389477638064188,KNN,MACCS fingerprint
0,KNN_maccs,9,0.593115825714834,0.4650919309635988,0.8177392348091695,0.505105293321601,KNN,MACCS fingerprint
0,KNN_morgan-512,0,0.5204569452628035,0.3992319418173764,0.6816109495074161,0.6500491112401836,KNN,MORGAN fingerprint
0,KNN_morgan-512,1,0.5780989399675858,0.453055071470188,0.7676570081047547,0.4861184893200433,KNN,MORGAN fingerprint
0,KNN_morgan-512,2,0.5811316911972706,0.43514739780673484,0.7647202343767878,0.5545350045190665,KNN,MORGAN fingerprint
0,KNN_morgan-512,3,0.5721425817408762,0.4475227371680761,0.771856556740306,0.511182960974139,KNN,MORGAN fingerprint
0,KNN_morgan-512,4,0.5750278894987312,0.3866918043424681,0.7955202822578615,0.5189083232529551,KNN,MORGAN fingerprint
0,KNN_morgan-512,5,0.5831392749000655,0.471553401254474,0.7837287474844901,0.5048667061760095,KNN,MORGAN fingerprint
0,KNN_morgan-512,6,0.5603230717830819,0.4319662453947881,0.7661853154032662,0.5407116032745178,KNN,MORGAN fingerprint
0,KNN_morgan-512,7,0.5685427503731646,0.4730716797019061,0.771327802663382,0.4818030467001453,KNN,MORGAN fingerprint
0,KNN_morgan-512,8,0.5539567982516961,0.4564182498461764,0.7249390730267249,0.5593595359572112,KNN,MORGAN fingerprint
0,KNN_morgan-512,9,0.6033596912144948,0.44741944454186733,0.8167344994448444,0.506320675243616,KNN,MORGAN fingerprint
0,KNN_rdkit,0,0.5062950762157594,0.3890233109790353,0.6733360587689955,0.6584944789313807,KNN,RDKIT descriptors
0,KNN_rdkit,1,0.5803297443491503,0.41362273086733614,0.7750155900406017,0.4762193724986761,KNN,RDKIT descriptors
0,KNN_rdkit,2,0.5806045003560377,0.45822185484003475,0.7578943893540522,0.5624518986942523,KNN,RDKIT descriptors
0,KNN_rdkit,3,0.5686665355953479,0.46504295746359103,0.7794932141012907,0.5014625154290557,KNN,RDKIT descriptors
0,KNN_rdkit,4,0.5620561528272858,0.4721570255553189,0.732674942555243,0.5919174655294226,KNN,RDKIT descriptors
0,KNN_rdkit,5,0.6062793505985574,0.4850878770161897,0.8149539339609975,0.46462671407313805,KNN,RDKIT descriptors
0,KNN_rdkit,6,0.522500331274359,0.3930808551248619,0.7095443479677586,0.6061082221533022,KNN,RDKIT descriptors
0,KNN_rdkit,7,0.5198462802791718,0.4219899525919484,0.7171056755651244,0.5520977923575265,KNN,RDKIT descriptors
0,KNN_rdkit,8,0.5320478882507375,0.4271677141891601,0.7090465673831129,0.5784676813175461,KNN,RDKIT descriptors
0,KNN_rdkit,9,0.5546771655117495,0.42526535300524326,0.756608249838393,0.5763323708788723,KNN,RDKIT descriptors
0,MLR_cddd,0,0.612866182473846,0.521406598703976,0.8035600866519493,0.5136256113954901,MLR,CDDD embedding
0,MLR_cddd,1,0.5918498554346239,0.43865827682195224,0.7816451987426123,0.4672200371416658,MLR,CDDD embedding
0,MLR_cddd,2,0.6346196097731582,0.5570246543284147,0.7991653151939621,0.5135013125128589,MLR,CDDD embedding
0,MLR_cddd,3,0.6241235930298418,0.5181716744146923,0.8041801506642817,0.46938461358756267,MLR,CDDD embedding
